1094724033,03/03/1997,Ces médicaments qui ont changé la vie,2601030089; 9782601030082,D16a
,,,,
1094724291,03/03/1997,Ces médicaments qui nous accompagnent,270201335X; 9782702013359,D16a
,,,,
1096899222,03/11/2011,175 ans d'industrie pharmaceutique française : histoire de Synthélabo,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1094687467,06/05/2002,"Qu'est-ce qu'un médicament ? : un objet étrange entre science, marché et société",2707127523; 9782707127525,D16a
,,,,
1094686684,10/07/2002,Histoire contemporaine des médicaments,2707136662; 9782707136664,D16a
,,,,
1094669893,16/11/2000,La France des pharmacies anciennes,2708990942; 9782708990944,D16a
,,,,
1094687240,19/02/2002,Le magasin du Bon Dieu : les extraordinaires richesses thérapeutiques des plantes et des animaux,270962110X; 9782709621106,D16a
,,,,
1096131356,11/07/2008,"Les fondements de la botanique, Linné et la classification des plantes",2711791459; 9782711791453,D16a
,,,,
1094725169,28/12/2004,Les drogues dans l'histoire : entre remède et poison : archéologie d'un savoir oublié,2804129241; 9782804129248; 2701123542; 9782701123547,D16a
,,,,
1094083323,23/04/1999,Le livre du cannabis : le XXIe siècle sera-t-il psychédélique ? : une anthologie,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1096135627,26/10/2009,Le prix des médicaments : l'industrie pharmaceutique suisse,2829003292; 9782829003295,D16a
,,,,
1096622927,03/03/1997,Naissance et évolution de quinze formes pharmaceutiques,2840590077; 9782840590071,D16a
,,,,
1094725313,20/01/2005,Plantes et tradition orale,2858311447; 9782858311446,D16a
,,,,
1094721945,20/06/2006,Le tabac en son temps : de la séduction à la répulsion,2859527133; 9782859527136,D16a
,,,,
1094721950,20/06/2006,Histoire sociale du tabac,2864960826; 9782864960829,D16a
,,,,
1092945754,03/03/1997,Pub & [et] pilules : histoires et communication du médicament,2867263093; 9782867263095,D16a
,,,,
1094684855,26/06/2003,Le médicament entre science et magie,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1097425991,03/03/1997,Phantastica : l'histoire des drogues et de leur usage,2906757888; 9782906757882,D16a
,,,,
1094723997,12/09/2005,Histoire et médicament aux XIXe et XXe siècles,2911119592; 9782911119590,D16a
,,,,
1096111299,21/11/2006,Dictionnaire d'histoire de la pharmacie : des origines à la fin du XIXe siècle,2914399049; 9782914399043,D16a
,,,,
1094073488,08/09/1997,De l'élixir au génie génétique : deux siècles de sciences pharmaceutiques hospitalières,295095930X; 9782950959300,D16a
,,,,
1094723653,29/06/2005,"Der heilige Hain : Germanische Zauberpflanzen, heilige Bäume und schamanische Rituale",3038002046; 9783038002048,D16a
,,,,
1094670625,19/04/2001,Semiotic foundations of drug therapy : the placebo problem in a new perspective,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1096621312,03/03/1997,"Festschrift für A. Lutz und J. Büchi = Mélanges, offerts à A. Lutz et J. Büchi",326004986X; 9783260049866,D16a
,,,,
1093017761,03/03/1997,Panorama der Pharmaziegeschichte = Panorama of history of pharmacy : 13 subjects of 12 countries,3260051686; 9783260051685,D16a
,,,,
1093192979,03/03/1997,Zur Geschichte der Antimykotika in der zweiten Hälfte des 19. Jahrhunderts,3260053506; 9783260053504,D16a
,,,,
1093230818,03/03/1997,"Der Weg zur Etablierung der Reinglykoside in der Digitalistherapie : zur Geschichte der peroralen, parenteralen und rektalen Digitalispräparate in der Schweiz, Deutschland und Oesterreich von ca. 1880-1950",3260053581; 9783260053580,D16a
,,,,
1093220717,03/03/1997,Zur Geschichte der peroralen und parenteralen Eisenpräparate zwischen 1830 und 1900 mit besonderer Berücksichtigung der Chlorosetherapie,3260053611; 9783260053610,D16a
,,,,
1094081464,07/05/1998,Die Pharmazie bei den alten Kulturvölkern : historisch-kritische Studien,,
,,,,
,,,,
