ID,Date,Title,ISBN,Classification
1096158014,2010-08-02,Les idoles de la perversité : figures de la femme fatale dans la culture fin de siècle,0195056523; 9780195056525; 2020136449; 9782020136440,D10a
1096157922,2010-06-23,Volatile bodies : toward a corporeal feminism,0253326869; 9780253326867; 0253208629; 9780253208620,D10a
1096158055,2010-07-30,L'adolescente et son corps,2080354787; 9782080354785,D10a
1094670922,2001-08-06,Geschichte der Histopathologie,354067490X; 9783540674900,D10a
1093077973,1997-03-03,History of clinical cytology : a selection of documents,3921956277; 9783921956274,D10a
1093016674,1997-03-03,La teoría celular : historia de un paradigma,8420623660; 9788420623665,D10a
1096620477,2011-10-10,Der Beitrag von Friedrich Miescher d.J. (1844-1895) zur Geschichte der Zellbiologie,none,D10a
1099015469,2001-01-23,Le développement de la technique de coloration histologique,none,D10a
