ID,Date,Title,ISBN,Classification
1093219346,1997-03-03,A history of gastric secretion and digestion : experimental studies to 1975,0195073932; 9780195073935,D30c
1096622317,1997-03-03,The growth of gastroenterologic knowledge during the twentieth century,0812115929; 9780812115925,D30c
1094723894,1997-04-26,The history of gastroenterology : essays on its development and accomplishments,1850703655; 9781850703655,D30c
1094667332,2000-11-01,Dates in gastroenterology,185070502X; 9781850705024,D30c
1096896344,2013-11-15,Gastroenterology in Britain : historical essays,1869835646; 9781869835644,D30c
1096111212,2007-01-23,Pioneers in surgical gastroenterology,1903378354; 9781903378359,D30c
1096157631,1997-03-03,Références des grandes étapes en hépato-gastro-entérologie,2840590050; 9782840590057,D30c
1096157632,1997-03-03,Histoire illustrée de l'hépato-gastro-entérologie : de l'Antiquité à nos jours,2851280686; 9782851280688,D30c
1096160350,2011-07-06,Praktische Gastroenterologie,3133399047; 9783133399043,D30c
1093356047,1997-03-03,Medizin und Wissenschaftstheorie : die Geschichte der Wismuttherapie als wissenschaftstheoretische Fallstudie,3786840733; 9783786840732,D30c
1094073592,1997-10-09,Meilensteine der Gastroenterologie und Stoffwechselforschung in den deutschsprachigen Ländern = Milestones in gastroenterology and metabolic research in German-speaking countries,3929713691; 9783929713695,D30c
1094670453,2001-06-19,Storia illustrata della proctologia : antropologia e patologia del rituale scatologico,8876450971; 9788876450976,D30c
1097425525,2014-08-19,"The stomach : a biography : four thousand years of stomach pains : literature, symptoms and epidemiology",9781477429792; 1477429794,D30c
1093014905,1997-03-03,Alexander von Tralleis und die Gastroenterologie,none,D30c
1093186894,1997-03-03,Histoire de la sécrétion gastrique,none,D30c
1094649790,2000-10-17,Lo stomaco nella storia della medicina,none,D30c
1096899314,2015-09-14,Les ulcérations gastro-duodénales aiguës neurogènes : conceptions actuelles,none,D30c
