ID,Date,Title,ISBN,Classification
1096160524,2011-08-31,Investigations et expérimentations en odontologie : 40 années de recherche,9782296101265; 2296101267,27
1096897428,2015-04-15,Chirurgie dentaire et nazisme,9782343055732; 2343055734,27
1096621414,2012-02-23,100 SSO : 1886-1986,none,27
1096621415,2012-02-23,"SSO, 1886-1961: Festschrift zur 75-Jahr-Feier = publication jubilaire pour le 75e anniversaire = pubblicazione giubilare per il 75° anniversario",none,27
1096899382,2015-09-24,The temporomandibular joint,none,27
RERO-16008650,2014-08-26,"Mechanical dentistry : a practical treatise on the construction of the various kinds of artificial dentures : comprising also useful formulae, tables, and receipts for gold plate, clasps, solders, etc.",none,27
1096898962,2015-06-10,"The influence of teeth, diet, and habits on the human face",0433071605; 9780433071600,D27
1093067957,1997-03-03,The American dentist : a pictorial history with a presentation of early dental photography in America,0929521056; 9780929521053,D27
1094672425,2001-09-06,"The making of the dentiste, c. 1650-1760",1840146532; 9781840146530,D27
1096622738,2011-08-17,L'art dentaire,270890468X; 9782708904682,D27
1096895779,2013-05-23,La stomatologie dans le Corpus aristotélicien,2803100886; 9782803100880,D27
1096156666,2010-01-11,"Abhandlung aus der Wundarzney von den Zähnen, derselben, wie auch des Zahnfleisches, der Kriefer-Krankenheiten, und Heilarten",3746301092; 9783746301099,D27
1096111570,2006-08-30,Beiträge zur Geschichte und Ethik der Zahnheilkunde,3826033140; 9783826033148,D27
1096899617,2015-12-16,The smile revolution in eighteenth century Paris,9780198715818; 0198715811,D27
1096898108,2015-02-18,The long climb : from barber-surgeons to doctors of dental surgery,9780867156492; 086715649X,D27
1096160530,2011-09-01,De l'art dentaire à d'autres arts : [anecdodontes biographiques],9782296043282; 2296043283,D27
1096160534,2011-09-01,Quand la dent mène l'enquête...,9782296064058; 2296064051,D27
1096160571,2011-08-31,Historique de l'odonto-stomatologie du sport en France : principaux acquis techniques et scientifiques,9782296076310; 2296076319,D27
1096160573,2011-08-25,Histoires de la médecine bucco-dentaire,9782296112346; 229611234X,D27
1096160677,2011-08-25,Hygiène bucco-dentaire du XVIIe au XIXe siècle en France,9782296113749; 2296113745,D27
1096160679,2011-08-25,Dentistes héroïques de la Seconde Guerre mondiale,9782296547810; 2296547818,D27
1096620067,2011-12-15,Les dents de l'homme : de la préhistoire à l'ère moderne,9782296555204; 2296555209,D27
1096620066,2011-11-03,Chroniques odontologiques des rois de France et de la dynastie napoléonienne,9782296555310; 2296555314,D27
1096624545,2013-01-23,"Dents, dentistes et art dentaire : histoire, pratiques et représentations : Antiquité, Moyen Âge, Ancien Régime",9782336290126; 233629012X,D27
1096896167,2013-07-18,Histoire des liaisons épistémologiques entre l'art dentaire et la chimie : de l'Antiquité à la fin du 20e siècle,9782343006529; 2343006520,D27
1096895774,2013-05-30,Histoire indépendentaire,9782343007243; 2343007241,D27
1097425447,2016-04-21,L'art dentaire en Egypte antique,9782343026862; 2343026866,D27
1096898288,2015-02-18,Odontologie médico-légale et serial killers : la dent qui en savait trop...,9782343042077; 2343042071,D27
1097425877,2016-04-20,Caractéristiques dento-crânio-faciales des Homininés,9782343045320; 2343045321,D27
1096899621,2015-12-16,Histoire et épistémologie de l'anatomie et de la physiologie en art dentaire : de l'Antiquité à la fin du XXe siècle,9782343067506; 2343067503,D27
1096160549,2011-08-31,"40 ans de chirurgie dentaire, 1968-2008",9782708939196; 270893919X,D27
1096160525,2011-08-18,"Recherche de la vraye anathomie des dents, nature et propriété d'icelles",9782908570137; 2908570130,D27
1096157722,2009-12-07,Lingua medica : Lehrbuch zur medizinischen und zahnmedizinischen Terminologie,9783832516710; 3832516719,D27
1094685530,2003-02-11,Geschichte der Zahnheilkunde,none,D27
1094706433,2004-07-21,Die Geschichte der Zahnheilkunde,none,D27
1096156500,2010-05-06,Fractures of the jaws,none,D27
1097426270,1997-03-03,Über Alveolarknochen und Zähne im Theatrum anatomicum des Caspar Bauhin,none,D27
1097426271,1997-03-03,Studien zur Geschichte des Spira-Syndroms (Dentalfluorose),none,D27
1094081495,1998-04-30,Bildgeschichte der Zahnheilkunde : Zeugnisse aus 5 Jahrtausenden = Histoire de la médecine dentaire par l'image : témoignages provenant de 5000 ans = Pictorial history of dentistry : testimonies of 5000 years,none,D27
1094685052,2003-02-24,Histoire générale de la chirurgie dentaire,none,D27
1096621419,2012-03-01,Geschichte der Dentalhygienikerin in der Schweiz Antonio Romagnolo,none,D27
1094721828,1997-03-03,Histoire illustrée de l'art dentaire : stomatologie et odontologie,none,D27
