1096160817,2011-08-08,The hepatobiliary system : fundamental and pathological mechanisms,0306356074; 9780306356070,3003
1096620512,2011-10-05,"Carbenoxolone sodium : original papers and discussion of a group meeting at the 4th World Congress of Gastroenterology, Copenhagen, July 14th 1970",0407128018; 9780407128019,3003
1096620500,2011-10-05,The irritable gut : functional disorders of the alimentary canal,0839113099; 9780839113096,3003
1096897842,2014-12-11,Proctologie pratique,3456003218; 9783456003214,3003
1096622200,2012-08-13,"Gastro update 2005 : nouveaux développements, concepts actuels et state of the art des options thérapeutiques : 13e séminaire de gastro-entérologie Wiesbaden, les 25 et 26 février 2005",3906529088; 9783906529080,3003
1096896944,2014-06-16,"Trends in bile acid research : proceedings of the 52nd Falk Symposium held in Freiburg, Federal Republic of Germany, June 9-11, 1988",9780746201121; 0746201125,3003
1096898705,2015-06-01,Le charme discret de l'intestin : tout sur un organe mal aimé,9782330048815; 2330048815,3003
