1094721615,2006-03-28,The history of albuminous nephritis,0854840982; 9780854840984,459
1096622456,2012-06-13,Perspectives in andrology,088167561X; 9780881675610,459
1094670737,2001-03-06,"Circoncision masculine, circoncision féminine : débat religieux, médical, social et juridique",274750445X; 9782747504454,459
1096158281,2011-04-14,Les maladies de la prostate,2829700112; 9782829700118,459
VD2107983,2006-09-13,Mes aventures de dialyse,2911465032; 9782911465031,459
1097426176,2016-02-29,"The art of waiting : on fertility, medicine, and motherhood",9781555977498; 1555977499,459
1094721636,2006-04-05,Die Babylonisch-Assyrische Medizin in Texten und Untersuchungen,9781614515326; 1614515328; 3110179644; 9783110179644; 3110075717; 9783110075717,459
