1094081522,1998-04-27,Mémoires sur les hôpitaux de Paris,2704009902; 9782704009909,7
1094705535,2004-09-17,"Hôpitaux, cliniques, quel futur?",2747561232; 9782747561235,7
1096132261,2008-09-08,Soma & [et] séma : figures du corps,2706818239; 9782706818233,10
1094667314,2000-11-14,L'expressivité du corps : recherche sur les fondements de la théâtralité,2711300226; 9782711300228,10
1096897359,2014-11-17,"Les parois du tronc : myologie, angéiologie, névrologie : schémas de travaux pratiques à l'usage des étudiants en médecine",2711406733; 9782711406739,10
1096898757,2015-04-02,Usages culturels du corps,2738451837; 9782738451835,10
1094647606,2000-03-30,Usages culturels du corps,2738451837; 9782738451835,10
1096135628,2009-10-26,Approches de la culture matérielle : corps à corps avec l'objet,2738477674; 9782738477675,10
1094707187,2004-05-06,Le corps et ses mots : présentation de la Briefve [i.e. Brève] collection de l'administration anatomique d'Ambroise Paré avec translation,2747545016; 9782747545013,10
1096133441,2009-01-15,L'image et le corps : propos sur la représentation imagée du corps dans les mass-media,2747547728; 9782747547727,10
1096133440,2009-01-15,Le corps sens dessus dessous : regards des sciences sociales sur le corps,2747555739; 9782747555739,10
1094723549,2005-05-31,"La controverse entre Stahl et Leibniz sur la vie, l'organisme et le mixte : doutes concernant la vraie théorie médicale du célèbre Stahl, avec les répliques de Leibniz aux observations stahliennes",2711616290; 9782711616299,12
1094723768,2005-08-10,Eléments de physiologie,2745309951; 9782745309952,12
1094721865,2006-05-24,"Pharmacopées traditionnelles en Guyane : Créoles, Wayãpi, Palikur,",2709915456; 9782709915458,16
1094709868,2003-08-27,La part des gènes,2738106498; 9782738106490,24
1096160524,2011-08-31,Investigations et expérimentations en odontologie : 40 années de recherche,9782296101265; 2296101267,27
1096897428,2015-04-15,Chirurgie dentaire et nazisme,9782343055732; 2343055734,27
1094686462,2002-10-21,La consultation,270565996X; 9782705659967,30
1094083426,1999-05-19,"De l'âme (VII, 1-9)",2711613682; 9782711613687,30
1096622315,2012-07-19,Synthèse clinique,2729885560; 9782729885564,30
1096115179,2008-02-06,Lana caprina : une controverse médicale sur l'Utérus pensant à l'Université de Bologne en 1771-1772,2745300903; 9782745300904,30
1096111397,2006-11-02,Le Demosterion,2745312057; 9782745312051,30
1096624325,2013-01-31,La thérapeutique en questions : 100 cas cliniques-QCM : questions incluses dans le programme de l'Internat,2704004951; 9782704004959,44
1096622606,2012-07-19,La thérapeutique en observations : dossiers rédactionnels et arbres de décision : (conformes à l'épreuve III du concours de l'Internat,2704005303; 9782704005307,44
1096622299,2012-07-25,La thérapeutique en prescriptions : 100 cas cliniques avec prescriptions argumentées et arbres décisionnels commentés,270400594X; 9782704005949,44
1094005869,1999-06-24,Introduction pratique à l'auriculothérapie,2716000557; 9782716000550,44
1096896457,2013-12-19,Du luxe au confort,2701111838; 9782701111834,70
1096158012,2010-08-02,"Ni putes, ni soumises",2707141429; 9782707141422,70
1096111208,2007-01-23,Fléaux contemporains : des infections et des inégalités,2717851062; 9782717851069,70
1094720354,2006-07-26,L'inflation médicale : réflexions sur l'efficacité de la médecine,2718600624; 9782718600628,70
1094683996,2003-10-30,La perception quotidienne de la santé et de la maladie : théories subjectives et représentations sociales,2738415393; 9782738415394,70
