1096897819,2014-11-26,Neurological anatomy : in relation to clinical medicine,0195011201; 9780195011203,3007
1096897593,2014-11-26,Evolution of the nervous system,0195017773; 9780195017779,3007
1096899044,2015-06-11,The human nervous system : a developmental approach,070001425X; 9780700014255,3007
1096897837,2014-12-10,Survey of functional neuroanatomy,0930010132; 9780930010133,3007
1096897835,2014-12-10,"Higher nervous functions : international symposium during the 7th Asian Oceanian Congress of Neurology, Bali, 20-24 September 1987",3528079770; 9783528079772,3007
1096897592,2014-11-26,Funktionelle Anatomie des Nervensystems : ein kurzgefasstes Lehrbuch nach funktionellen Gesichtspunkten für Studierende und Ärzte,3794501942; 9783794501946,3007
1096897820,2014-11-26,Neurological pathophysiology,9780195023374; 0195023374; 9780195023381; 0195023382,3007
1096896775,2014-08-14,Scientific foundations of neurology,9780433067023; 0433067020,3007
1096899062,2015-06-10,An introduction to the human nervous system,9971691078; 9789971691073,3007
