1094687365,2002-03-27,Discours sur l'oeil,2909961206; 9782909961200,3015
1096115667,2008-06-04,Schriften zu den Sinnesorganen : Auge,3437115545; 9783437115547,3015
1094721124,2006-07-11,Albert Neissers (1855-1916) Stereoscopischer Medicinischer Atlas : Eine aussergewöhnliche fotografische Sammlung aus dem Gebiet der Augenheilkunde,3826030125; 9783826030123,3015
1094707207,2004-05-05,Un tratado de oftalmología en Abulcasis,8482402412; 9788482402413,3015
1094670586,2001-05-07,La collezione degli strumenti di oculistica,8871451678; 9788871451671,3015
1094687556,2002-06-06,Classic papers in glaucoma,9062991602; 9789062991600,3015
1096898770,2015-05-13,"L'oeil, le cerveau et la vision : les étapes cérébrales du traitement visuel",9782902918676; 2902918674,3015
1096896504,2014-02-13,Abhandlung über den Grauen Staar und dessen Heilung,9783981593532; 3981593537,3015
